file,sample,bead,n_roi_bead,model,mean_only,mean_sandwich,mean_multi,expected_only,expected_sandwich,expected_multi,eff_sandwich,eff_multi
Beads_1.fcs,Beads_1,3,2538,gmm3,0.130833832,0.137086952,0.406018667,2207.585853,183.4565272,146.9576195,0.072283896,0.057902923
Beads_1.fcs,Beads_1,6,2965,gmm3,0.131264178,0.138230639,0.412404986,2644.243487,171.2423051,149.5142075,0.057754572,0.050426377
Beads_1.fcs,Beads_1,8,4924,gmm3,0.131915115,0.139131642,0.428362522,4332.613462,400.2548844,191.1316538,0.081286532,0.038816339
Beads_1.fcs,Beads_1,ALL,10427,mix,,,,9184.442802,754.9537167,487.6034808,0.072403732,0.046763545
Beads_2.fcs,Beads_2,3,2492,gmm3,0.131227425,0.1619141,0.445365104,2311.362073,49.87013586,130.7677907,0.020012093,0.052475036
Beads_2.fcs,Beads_2,6,3159,gmm3,0.131521028,0.263552966,0.390031109,2996.712951,19.04307757,143.2439712,0.006028198,0.04534472
Beads_2.fcs,Beads_2,8,4563,gmm3,0.132250984,0.148187308,0.434663161,4313.517897,120.0076783,129.4744242,0.026300171,0.028374846
Beads_2.fcs,Beads_2,ALL,10214,mix,,,,9621.592922,188.9208918,403.4861861,0.018496269,0.039503249
Beads_3.fcs,Beads_3,3,2414,gmm3,0.131065953,0.143736832,0.441114872,2221.241071,68.15016711,124.6087623,0.028231221,0.051619206
Beads_3.fcs,Beads_3,6,3315,gmm3,0.131031598,0.136903144,0.411899448,2834.289511,299.4701539,181.2403352,0.090337905,0.054672801
Beads_3.fcs,Beads_3,8,4718,gmm3,0.1317213,0.138483291,0.388015855,4048.433087,510.1355924,159.4313204,0.108125391,0.033792141
Beads_3.fcs,Beads_3,ALL,10447,mix,,,,9103.963669,877.7559134,465.2804179,0.084019902,0.044537228
PTB_A1.fcs,PTB_A1,3,2743,gmm3,0.131255919,0.237496329,0.473672997,1323.637618,100.519838,1318.842544,0.036645949,0.480802969
PTB_A1.fcs,PTB_A1,6,4218,gmm3,0.131497934,0.321230423,0.481745835,1518.589671,631.3020178,2068.108312,0.149668568,0.490305432
PTB_A1.fcs,PTB_A1,8,5198,gmm3,0.132384201,0.202478388,0.467636567,2594.960809,451.964218,2151.074973,0.086949638,0.413827428
PTB_A1.fcs,PTB_A1,ALL,12159,mix,,,,5437.188098,1183.786074,5538.025829,0.097358835,0.455467212
PTB_B1.fcs,PTB_B1,3,3296,gmm3,0.13128599,0.243575301,0.472304722,1583.630651,162.4507138,1549.918635,0.049287231,0.470242304
PTB_B1.fcs,PTB_B1,6,4519,gmm3,0.131392146,0.218543387,0.465172797,2139.906031,423.8679203,1955.226049,0.09379684,0.432667858
PTB_B1.fcs,PTB_B1,8,5220,gmm3,0.132305536,0.202110612,0.457948883,2848.321698,463.1702518,1908.50805,0.088729933,0.365614569
PTB_B1.fcs,PTB_B1,ALL,13035,mix,,,,6571.85838,1049.488886,5413.652734,0.080513148,0.415316665
PTB_C1.fcs,PTB_C1,3,2918,gmm3,0.13127657,0.356548725,0.481478594,1138.282939,336.6151902,1443.101871,0.115358187,0.494551704
PTB_C1.fcs,PTB_C1,6,3695,gmm3,0.131624478,0.330268473,0.484509525,1082.067565,645.4949755,1967.437459,0.174694175,0.532459394
PTB_C1.fcs,PTB_C1,8,4893,gmm3,0.132219615,0.228854679,0.478605072,1894.476018,557.1892007,2441.334782,0.11387476,0.498944366
PTB_C1.fcs,PTB_C1,ALL,11506,mix,,,,4114.826522,1539.299366,5851.874111,0.133782319,0.508593265
PTB_D1.fcs,PTB_D1,3,2952,gmm3,0.131295272,0.215997503,0.479315124,1467.198234,95.2628436,1389.538923,0.032270611,0.470711017
PTB_D1.fcs,PTB_D1,6,4185,gmm3,0.131573472,0.316665291,0.481670656,1607.029756,627.829342,1950.140902,0.150018959,0.465983489
PTB_D1.fcs,PTB_D1,8,4946,gmm3,0.132347149,0.210523663,0.46702956,2611.388168,408.9129001,1925.698932,0.082675475,0.389344709
PTB_D1.fcs,PTB_D1,ALL,12083,mix,,,,5685.616157,1132.005086,5265.378757,0.093685764,0.435767505
PTB_E1.fcs,PTB_E1,3,3004,gmm3,0.131403266,0.199632522,0.471643969,1946.657849,88.45625035,968.8859011,0.029446155,0.322531924
PTB_E1.fcs,PTB_E1,6,4033,gmm3,0.131470261,0.213281992,0.467212384,2421.371441,229.0271219,1382.601437,0.056788277,0.342822077
PTB_E1.fcs,PTB_E1,8,4431,gmm3,0.132307522,0.159098233,0.445578882,3382.522579,160.4837289,887.9936922,0.0362184,0.200404805
PTB_E1.fcs,PTB_E1,ALL,11468,mix,,,,7750.551869,477.9671011,3239.48103,0.041678331,0.282480034
PTB_F1.fcs,PTB_F1,3,2877,gmm3,0.131686667,0.329809474,0.48528011,1251.921299,298.1353072,1326.943393,0.103627149,0.461224676
PTB_F1.fcs,PTB_F1,6,4281,gmm3,0.132077622,0.329779547,0.490014762,1348.825956,994.6441625,1937.529881,0.232339211,0.452588153
PTB_F1.fcs,PTB_F1,8,4714,gmm3,0.132415273,0.212320184,0.475242871,1786.078829,587.8711138,2340.050058,0.124707491,0.49640434
PTB_F1.fcs,PTB_F1,ALL,11872,mix,,,,4386.826084,1880.650584,5604.523332,0.158410595,0.472079122
PTB_G1.fcs,PTB_G1,3,2725,gmm3,0.131354616,0.22370751,0.474059906,1318.520122,108.5807617,1297.899116,0.039846151,0.476293254
PTB_G1.fcs,PTB_G1,6,3854,gmm3,0.131479264,0.242476275,0.47756663,1737.880569,299.5142981,1816.605133,0.077715179,0.471355769
PTB_G1.fcs,PTB_G1,8,4741,gmm3,0.132278983,0.198021913,0.470007791,2762.441508,334.0940171,1644.464475,0.070469103,0.346860256
PTB_G1.fcs,PTB_G1,ALL,11320,mix,,,,5818.8422,742.1890769,4758.968724,0.065564406,0.420403597
PTB_H1.fcs,PTB_H1,3,2880,gmm3,0.131402405,0.214056056,0.465362988,1456.417598,125.6607566,1297.921645,0.043632207,0.450667238
PTB_H1.fcs,PTB_H1,6,4137,gmm3,0.131451369,0.20274662,0.453877087,2517.545887,248.2752906,1371.178822,0.060013365,0.33144279
PTB_H1.fcs,PTB_H1,8,4969,gmm3,0.132221858,0.197822997,0.455448539,3053.693025,397.2454539,1518.061521,0.079944748,0.305506444
PTB_H1.fcs,PTB_H1,ALL,11986,mix,,,,7027.65651,771.1815011,4187.161989,0.064340189,0.349337726
PTB_I1.fcs,PTB_I1,3,2605,gmm3,0.131363891,0.211437753,0.478888878,1342.793794,85.61355842,1176.592647,0.03286509,0.451667043
PTB_I1.fcs,PTB_I1,6,3426,gmm3,0.13157493,0.317861873,0.484826477,1352.139421,479.4521402,1594.408439,0.139945166,0.465384833
PTB_I1.fcs,PTB_I1,8,4464,gmm3,0.132378795,0.198325739,0.472248705,2156.152791,362.3692003,1945.478009,0.081175896,0.435814966
PTB_I1.fcs,PTB_I1,ALL,10495,mix,,,,4851.086006,927.434899,4716.479095,0.088369214,0.449402486
PTB_J1.fcs,PTB_J1,3,2645,gmm3,0.131323448,0.254621695,0.477248748,1191.244747,145.1176234,1308.637629,0.054864886,0.494759028
PTB_J1.fcs,PTB_J1,6,4089,gmm3,0.131439448,0.316769428,0.479122108,1605.886554,553.023418,1930.090028,0.135246617,0.472020061
PTB_J1.fcs,PTB_J1,8,4943,gmm3,0.132280875,0.201114411,0.465784143,2609.471935,429.7710769,1903.756988,0.086945393,0.385142017
PTB_J1.fcs,PTB_J1,ALL,11677,mix,,,,5406.603236,1127.912118,5142.484646,0.096592628,0.440394335
TB_A2.fcs,TB_A2,3,2828,gmm3,0.131212283,0.22194068,0.47110469,1398.576597,106.1431903,1323.280213,0.037532953,0.467920867
TB_A2.fcs,TB_A2,6,4527,gmm3,0.131461095,0.226048985,0.469520583,1983.817166,363.3577875,2179.825046,0.080264587,0.481516467
TB_A2.fcs,TB_A2,8,5034,gmm3,0.132318724,0.194551298,0.456173399,2984.249638,348.4521291,1701.298233,0.069219732,0.337961508
TB_A2.fcs,TB_A2,ALL,12389,mix,,,,6366.643401,817.9531069,5204.403492,0.066022529,0.420082613
TB_B2.fcs,TB_B2,3,3150,gmm3,0.131545386,0.208743054,0.474011466,1728.669374,97.47687003,1323.853756,0.030945038,0.420271034
TB_B2.fcs,TB_B2,6,4396,gmm3,0.131607133,0.224548594,0.472787452,1762.948705,434.0010556,2199.050239,0.098726355,0.500238908
TB_B2.fcs,TB_B2,8,4809,gmm3,0.13233964,0.190924992,0.461923133,2348.508755,392.1496469,2068.341598,0.081544946,0.430098066
TB_B2.fcs,TB_B2,ALL,12355,mix,,,,5840.126835,923.6275726,5591.245593,0.074757392,0.452549218
TB_C2.fcs,TB_C2,3,3534,gmm3,0.133338441,0.205308668,0.472414314,2215.929658,133.0525952,1185.017747,0.037649291,0.335319114
TB_C2.fcs,TB_C2,6,4500,gmm3,0.131809828,0.166166326,0.465403883,1452.659712,637.2635547,2410.076733,0.141614123,0.535572607
TB_C2.fcs,TB_C2,8,4837,gmm3,0.132216153,0.192688263,0.469100219,1863.670831,597.7109211,2375.618248,0.123570585,0.491134639
TB_C2.fcs,TB_C2,ALL,12871,mix,,,,5532.260201,1368.027071,5970.712729,0.106287551,0.463888799
TB_D2.fcs,TB_D2,3,3355,gmm3,0.131450036,0.193466308,0.4692664,1940.485376,91.81032669,1322.704298,0.027365224,0.394248673
TB_D2.fcs,TB_D2,6,4509,gmm3,0.131702662,0.18876748,0.461147927,2117.681857,344.4962037,2046.821939,0.076401908,0.453941437
TB_D2.fcs,TB_D2,8,4824,gmm3,0.132398087,0.196325946,0.459880387,2729.574686,391.2244736,1703.20084,0.081099601,0.353068168
TB_D2.fcs,TB_D2,ALL,12688,mix,,,,6787.741919,827.531004,5072.727077,0.065221548,0.399805097
TB_E2.fcs,TB_E2,3,3266,gmm3,0.131443841,0.162649111,0.46816475,2059.98827,72.59416133,1133.417569,0.022227239,0.347035386
TB_E2.fcs,TB_E2,6,4173,gmm3,0.131539435,0.201872459,0.465448479,2343.559324,262.6359878,1566.804689,0.062936973,0.375462422
TB_E2.fcs,TB_E2,8,4576,gmm3,0.132314382,0.151723489,0.439870329,3356.775103,165.3892197,1053.835678,0.036142749,0.230296258
TB_E2.fcs,TB_E2,ALL,12015,mix,,,,7760.322696,500.6193688,3754.057935,0.041666198,0.312447602
TB_F2.fcs,TB_F2,3,3677,gmm3,0.131558276,0.190472398,0.470990832,2111.884057,133.2275333,1431.88841,0.036232672,0.389417571
TB_F2.fcs,TB_F2,6,4394,gmm3,0.131839984,0.205230629,0.467859375,1889.522772,400.6501193,2103.827109,0.091181183,0.478795428
TB_F2.fcs,TB_F2,8,4969,gmm3,0.132338462,0.193904726,0.464145345,2659.911969,457.9803208,1851.10771,0.092167503,0.372531236
TB_F2.fcs,TB_F2,ALL,13040,mix,,,,6661.318797,991.8579734,5386.823229,0.076062728,0.413099941
TB_G2.fcs,TB_G2,3,3568,gmm3,0.131793786,0.176842395,0.473385556,2209.753438,112.9563943,1245.290168,0.031658182,0.349016303
TB_G2.fcs,TB_G2,6,4466,gmm3,0.131569971,0.168590468,0.460719989,2159.203648,389.9410936,1916.855259,0.087313277,0.429210761
TB_G2.fcs,TB_G2,8,4689,gmm3,0.132341062,0.180219449,0.458031244,3143.98294,304.5989731,1240.418087,0.064960327,0.264537873
TB_G2.fcs,TB_G2,ALL,12723,mix,,,,7512.940025,807.4964611,4402.563514,0.063467457,0.346031872
TB_H2.fcs,TB_H2,3,3095,gmm3,0.13212788,0.203009509,0.475012092,1783.236568,137.0763903,1174.687042,0.044289625,0.379543471
TB_H2.fcs,TB_H2,6,4517,gmm3,0.131922706,0.185661466,0.467738994,1823.768544,534.9526135,2158.278842,0.118430953,0.477812451
TB_H2.fcs,TB_H2,8,5145,gmm3,0.132443478,0.199225221,0.468354759,2313.478921,557.9704285,2273.55065,0.108449063,0.44189517
TB_H2.fcs,TB_H2,ALL,12757,mix,,,,5920.484033,1229.999432,5606.516535,0.096417609,0.439485501
TB_I2.fcs,TB_I2,3,3073,gmm3,0.13219945,0.203267634,0.47586255,1683.138427,121.4779997,1268.383573,0.039530752,0.412750919
TB_I2.fcs,TB_I2,6,4070,gmm3,0.131909893,0.171477236,0.472892692,1342.406716,519.8998125,2207.693471,0.127739512,0.542430828
TB_I2.fcs,TB_I2,8,4976,gmm3,0.132328617,0.195570643,0.472164569,1884.632226,650.554942,2440.812832,0.130738533,0.490517048
TB_I2.fcs,TB_I2,ALL,12119,mix,,,,4910.17737,1291.932754,5916.889876,0.106603907,0.488232517
